code,name,股息率_2024,select,get,rate,profit_min
002353,杰瑞股份,2.4,43,43,100.0,0.7
600426,华鲁恒升,2.93,41,41,100.0,0.61
603976,正川股份,2.02,41,41,100.0,0.83
301290,东星医疗,2.41,39,39,100.0,0.86
603966,法兰泰克,2.34,37,37,100.0,0.95
603201,常润股份,2.71,44,43,97.73,0.58
603387,基蛋生物,2.22,44,43,97.73,0.64
603132,金徽股份,3.43,43,42,97.67,0.6
002138,顺络电子,2.23,42,41,97.62,0.53
002623,亚玛顿,3.39,42,41,97.62,0.54
603301,振德医疗,3.16,42,41,97.62,0.67
603568,伟明环保,2.46,42,41,97.62,0.5
603889,新澳股份,4.93,42,41,97.62,0.75
002746,仙坛股份,4.26,41,40,97.56,0.52
603298,杭叉集团,2.53,41,40,97.56,0.67
002648,卫星化学,2.83,39,38,97.44,0.77
002807,江阴银行,4.54,39,38,97.44,0.51
301056,森赫股份,4.48,39,38,97.44,0.55
301300,远翔新材,2.64,39,38,97.44,0.73
301345,涛涛车业,3.12,39,38,97.44,0.52
603303,得邦照明,6.0,39,38,97.44,0.52
301003,江苏博云,6.15,38,37,97.37,0.66
600285,羚锐制药,3.82,38,37,97.37,0.53
603992,松霖科技,2.39,38,37,97.37,0.67
002895,川恒股份,4.75,37,36,97.3,0.52
603380,易德龙,4.18,37,36,97.3,0.6
001299,美能能源,7.38,36,35,97.22,0.64
002440,闰土股份,2.02,36,35,97.22,0.52
002469,三维化学,4.65,36,35,97.22,0.51
600096,云天化,6.3,36,35,97.22,0.85
605162,新中港,2.42,36,35,97.22,0.87
605255,天普股份,2.17,36,35,97.22,0.58
600983,惠而浦,2.87,35,34,97.14,0.58
601225,陕西煤业,6.47,46,44,95.65,0.66
605169,洪通燃气,2.37,45,43,95.56,0.5
000404,长虹华意,4.24,44,42,95.45,0.56
000672,上峰水泥,7.29,44,42,95.45,0.55
002532,天山铝业,5.14,44,42,95.45,0.71
601566,九牧王,3.37,44,42,95.45,0.52
603309,维力医疗,4.07,44,42,95.45,0.8
603998,方盛制药,2.52,44,42,95.45,0.74
001268,联合精密,2.02,43,41,95.35,0.58
002661,克明食品,5.02,43,41,95.35,0.62
600428,中远海特,4.49,43,41,95.35,0.76
000683,远兴能源,5.93,42,40,95.24,0.53
002318,久立特材,3.93,42,40,95.24,0.72
002932,明德生物,6.48,42,40,95.24,0.6
301060,兰卫医学,2.14,42,40,95.24,0.55
301397,溯联股份,2.33,42,40,95.24,0.75
601686,友发集团,5.23,42,40,95.24,0.53
001358,兴欣新材,2.14,41,39,95.12,0.71
600660,福耀玻璃,2.99,41,39,95.12,0.56
600809,山西汾酒,3.16,41,39,95.12,0.54
603357,设计总院,3.35,41,39,95.12,0.64
603699,纽威股份,5.08,41,39,95.12,0.5
001338,永顺泰,2.7,40,38,95.0,0.58
