code,name,股息率_2024,select,get,rate,profit_min
002353,杰瑞股份,2.4,44,44,100.0,0.7
600426,华鲁恒升,2.93,41,41,100.0,0.61
002138,顺络电子,2.23,40,40,100.0,0.53
301290,东星医疗,2.41,38,38,100.0,0.91
603298,杭叉集团,2.53,38,38,100.0,0.67
002440,闰土股份,2.02,36,36,100.0,0.52
600285,羚锐制药,3.82,36,36,100.0,0.53
603966,法兰泰克,2.34,34,34,100.0,0.95
603976,正川股份,2.02,46,45,97.83,0.83
301300,远翔新材,2.64,42,41,97.62,0.73
002469,三维化学,4.65,41,40,97.56,0.55
002648,卫星化学,2.83,41,40,97.56,1.11
603132,金徽股份,3.43,41,40,97.56,0.6
603568,伟明环保,2.46,41,40,97.56,0.7
002807,江阴银行,4.54,40,39,97.5,0.51
301345,涛涛车业,3.12,40,39,97.5,0.52
603387,基蛋生物,2.22,39,38,97.44,0.54
603600,永艺股份,4.35,39,38,97.44,0.62
001338,永顺泰,2.7,38,37,97.37,0.58
605169,洪通燃气,2.37,38,37,97.37,0.5
301003,江苏博云,6.15,37,36,97.3,0.66
600983,惠而浦,2.87,37,36,97.3,0.58
603889,新澳股份,4.93,37,36,97.3,0.75
603380,易德龙,4.18,36,35,97.22,0.67
002895,川恒股份,4.75,34,33,97.06,0.52
301329,信音电子,2.17,34,33,97.06,0.55
605162,新中港,2.42,34,33,97.06,0.87
605580,恒盛能源,3.12,34,33,97.06,0.57
601225,陕西煤业,6.47,47,45,95.74,0.66
000910,大亚圣象,2.65,46,44,95.65,0.61
002746,仙坛股份,4.26,46,44,95.65,0.52
603201,常润股份,2.71,45,43,95.56,0.58
603998,方盛制药,2.52,45,43,95.56,0.74
002532,天山铝业,5.14,44,42,95.45,0.71
605077,华康股份,3.08,44,42,95.45,0.52
000630,铜陵有色,3.17,43,41,95.35,0.58
301004,嘉益股份,4.11,43,41,95.35,0.69
003020,立方制药,2.08,42,40,95.24,0.55
601001,晋控煤业,6.12,42,40,95.24,0.65
603213,镇洋发展,2.65,42,40,95.24,0.61
000538,云南白药,4.24,41,39,95.12,0.61
001358,兴欣新材,2.14,41,39,95.12,0.71
002078,太阳纸业,2.1,41,39,95.12,0.5
002318,久立特材,3.93,41,39,95.12,0.5
002623,亚玛顿,3.39,41,39,95.12,0.54
002661,克明食品,5.02,41,39,95.12,0.62
301056,森赫股份,4.48,41,39,95.12,0.55
601107,四川成渝,4.73,41,39,95.12,0.57
002961,瑞达期货,2.12,40,38,95.0,0.51
600660,福耀玻璃,2.99,40,38,95.0,0.56
603357,设计总院,3.35,40,38,95.0,0.53
002753,永东股份,2.25,39,37,94.87,0.51
