code,name,股息率_2024,select,get,rate,profit_min
870299,灿能电力,1.52,46,46,100.0,1.02
002319,乐通股份,0.0,45,45,100.0,0.51
836504,博迅生物,0.8,45,45,100.0,0.83
836699,海达尔,1.36,45,45,100.0,0.98
002838,道恩股份,0.53,44,44,100.0,0.63
838227,美登科技,1.72,44,44,100.0,0.71
002353,杰瑞股份,2.4,43,43,100.0,0.7
301273,瑞晨环保,0.0,43,43,100.0,1.39
603893,瑞芯微,0.61,43,43,100.0,1.08
002213,大为股份,0.15,42,42,100.0,0.59
002620,瑞和股份,0.0,42,42,100.0,0.53
301228,实朴检测,0.0,42,42,100.0,0.72
833171,国航远洋,0.0,42,42,100.0,0.82
835579,机科股份,0.11,42,42,100.0,0.51
836239,长虹能源,1.16,42,42,100.0,1.12
603015,弘讯科技,0.4,41,41,100.0,0.74
603976,正川股份,2.02,41,41,100.0,0.83
833455,汇隆活塞,1.75,41,41,100.0,0.54
871981,晶赛科技,0.43,41,41,100.0,0.54
000757,浩物股份,0.0,40,40,100.0,0.6
600426,华鲁恒升,2.93,40,40,100.0,0.61
603193,润本股份,1.03,40,40,100.0,0.53
000020,深华发A,0.0,39,39,100.0,0.79
002747,埃斯顿,0.0,39,39,100.0,0.54
301290,东星医疗,2.41,39,39,100.0,0.86
603615,茶花股份,0.0,39,39,100.0,0.53
002356,赫美集团,0.0,38,38,100.0,0.51
832982,锦波生物,0.6,38,38,100.0,0.56
834261,一诺威,1.95,38,38,100.0,0.55
835207,众诚科技,0.0,38,38,100.0,0.6
301550,斯菱股份,0.51,37,37,100.0,0.66
603045,福达合金,0.38,37,37,100.0,0.53
603966,法兰泰克,2.34,37,37,100.0,0.95
000576,甘化科工,0.0,36,36,100.0,0.82
301032,新柴股份,0.79,36,36,100.0,0.73
301439,泓淋电力,1.97,36,36,100.0,0.52
002886,沃特股份,0.21,35,35,100.0,0.67
603860,中公高科,0.57,35,35,100.0,0.62
603937,丽岛新材,0.0,35,35,100.0,0.55
605388,均瑶健康,1.26,35,35,100.0,0.56
001309,德明利,0.27,34,34,100.0,0.5
002090,金智科技,0.69,34,34,100.0,0.78
002857,三晖电气,0.08,34,34,100.0,0.52
301082,久盛电气,0.54,34,34,100.0,1.44
600202,哈空调,0.38,34,34,100.0,0.84
601020,华钰矿业,0.23,34,34,100.0,0.53
601069,西部黄金,0.26,34,34,100.0,0.76
603819,神力股份,0.13,33,33,100.0,0.86
605005,合兴股份,1.24,33,33,100.0,0.55
301086,鸿富瀚,1.87,32,32,100.0,0.62
301386,未来电器,2.41,32,32,100.0,1.09
603280,南方路机,1.07,32,32,100.0,0.51
603697,有友食品,3.74,32,32,100.0,0.67
603706,东方环宇,4.76,32,32,100.0,1.1
600128,苏豪弘业,1.02,31,31,100.0,0.52
301053,远信工业,1.11,30,30,100.0,0.68
301128,强瑞技术,1.24,29,29,100.0,0.81
600378,昊华科技,1.17,53,52,98.11,0.55
870976,视声智能,2.69,50,49,98.0,0.83
000691,亚太实业,0.0,48,47,97.92,1.04
831689,克莱特,0.95,48,47,97.92,0.79
870436,大地电气,0.0,48,47,97.92,0.57
832662,方盛股份,0.73,47,46,97.87,0.72
000803,山高环能,0.0,46,45,97.83,0.55
603330,天洋新材,0.0,46,45,97.83,0.88
835179,凯德石英,0.37,46,45,97.83,0.57
002072,凯瑞德,0.0,45,44,97.78,0.71
002667,威领股份,0.0,45,44,97.78,0.7
603223,恒通股份,0.75,45,44,97.78,0.61
603567,珍宝岛,1.33,45,44,97.78,0.72
831961,创远信科,0.24,45,44,97.78,0.51
832522,纳科诺尔,0.53,45,44,97.78,0.61
834950,迅安科技,2.49,45,44,97.78,0.5
837242,建邦科技,0.58,45,44,97.78,0.63
000509,华塑控股,0.0,44,43,97.73,0.77
002798,帝欧家居,0.0,44,43,97.73,0.51
301069,凯盛新材,0.62,44,43,97.73,0.92
301515,港通医疗,1.26,44,43,97.73,0.51
603201,常润股份,2.71,44,43,97.73,0.58
603387,基蛋生物,2.22,44,43,97.73,0.64
831152,昆工科技,0.0,44,43,97.73,0.7
831370,新安洁,0.0,44,43,97.73,0.52
832491,奥迪威,1.0,44,43,97.73,0.7
834770,艾能聚,0.69,44,43,97.73,0.68
873693,阿为特,0.17,44,43,97.73,0.58
000692,惠天热电,0.0,43,42,97.67,0.58
301170,锡南科技,1.18,43,42,97.67,0.71
601127,赛力斯,0.89,43,42,97.67,0.82
603132,金徽股份,3.43,43,42,97.67,0.6
603296,华勤技术,1.32,43,42,97.67,0.6
603568,伟明环保,2.46,43,42,97.67,0.5
872190,雷神科技,0.33,43,42,97.67,0.76
000400,许继电气,1.95,42,41,97.62,0.75
000985,大庆华科,0.29,42,41,97.62,0.51
002379,宏创控股,0.0,42,41,97.62,0.54
002623,亚玛顿,3.39,42,41,97.62,0.54
002656,ST摩登,0.0,42,41,97.62,0.52
301021,英诺激光,0.35,42,41,97.62,0.5
600428,中远海特,4.49,42,41,97.62,0.76
600783,鲁信创投,0.59,42,41,97.62,0.7
603301,振德医疗,3.16,42,41,97.62,0.67
603889,新澳股份,4.93,42,41,97.62,0.75
835174,五新隧装,0.0,42,41,97.62,0.52
873223,荣亿精密,0.0,42,41,97.62,0.73
002138,顺络电子,2.23,41,40,97.56,0.53
002209,达意隆,0.44,41,40,97.56,0.52
002550,千红制药,1.82,41,40,97.56,0.68
301058,中粮科工,1.41,41,40,97.56,0.55
301107,瑜欣电子,2.0,41,40,97.56,0.83
301166,优宁维,0.78,41,40,97.56,0.52
301265,华新环保,0.43,41,40,97.56,0.5
603188,亚邦股份,0.0,41,40,97.56,0.5
603298,杭叉集团,2.53,41,40,97.56,0.67
603333,尚纬股份,0.15,41,40,97.56,0.83
603977,国泰集团,0.75,41,40,97.56,0.58
605286,同力日升,0.66,41,40,97.56,1.38
831832,科达自控,0.12,41,40,97.56,0.64
834407,驰诚股份,0.44,41,40,97.56,0.96
873679,前进科技,3.14,41,40,97.56,0.74
000017,深中华A,0.0,40,39,97.5,0.52
000021,深科技,1.09,40,39,97.5,0.58
002094,青岛金王,0.0,40,39,97.5,0.52
002365,永安药业,0.49,40,39,97.5,0.85
002723,小崧股份,0.0,40,39,97.5,0.56
002746,仙坛股份,4.26,40,39,97.5,0.52
301222,浙江恒威,1.14,40,39,97.5,0.61
301261,恒工精密,0.6,40,39,97.5,0.53
301338,凯格精机,0.53,40,39,97.5,0.95
301345,涛涛车业,3.12,40,39,97.5,0.52
301361,众智科技,0.46,40,39,97.5,0.57
301421,波长光电,0.3,40,39,97.5,0.91
600149,廊坊发展,0.0,40,39,97.5,0.88
600460,士兰微,0.16,40,39,97.5,0.69
831278,泰德股份,0.78,40,39,97.5,1.02
837046,亿能电力,0.49,40,39,97.5,0.54
837174,宏裕包材,0.61,40,39,97.5,1.05
871970,大禹生物,0.0,40,39,97.5,0.61
000510,新金路,0.0,39,38,97.44,0.57
000600,建投能源,1.92,39,38,97.44,0.54
000966,长源电力,1.42,39,38,97.44,0.64
001287,中电港,0.62,39,38,97.44,0.52
002418,康盛股份,0.0,39,38,97.44,0.8
002420,毅昌科技,0.0,39,38,97.44,0.86
002480,新筑股份,0.0,39,38,97.44,0.63
002648,卫星化学,2.83,39,38,97.44,0.77
301028,东亚机械,1.58,39,38,97.44,0.72
301056,森赫股份,4.48,39,38,97.44,0.55
301106,骏成科技,1.41,39,38,97.44,0.5
301300,远翔新材,2.64,39,38,97.44,0.73
600337,美克家居,0.57,39,38,97.44,0.52
600367,红星发展,0.22,39,38,97.44,0.6
600768,宁波富邦,1.43,39,38,97.44,0.59
603303,得邦照明,6.0,39,38,97.44,0.52
603389,亚振家居,0.0,39,38,97.44,0.76
832089,禾昌聚合,0.6,39,38,97.44,0.73
873690,捷众科技,1.57,39,38,97.44,0.56
002224,三力士,0.66,38,37,97.37,0.62
002331,皖通科技,0.39,38,37,97.37,0.57
002337,赛象科技,0.39,38,37,97.37,0.77
002350,北京科锐,0.47,38,37,97.37,0.55
002630,华西能源,0.0,38,37,97.37,0.84
002668,TCL智家,0.0,38,37,97.37,0.6
002807,江阴银行,4.54,38,37,97.37,0.51
002988,豪美新材,1.11,38,37,97.37,0.63
301003,江苏博云,6.15,38,37,97.37,0.66
301068,大地海洋,0.79,38,37,97.37,1.58
301100,风光股份,0.0,38,37,97.37,0.59
301160,翔楼新材,1.15,38,37,97.37,0.51
301163,宏德股份,0.56,38,37,97.37,1.09
301232,飞沃科技,0.0,38,37,97.37,0.58
301369,联动科技,0.55,38,37,97.37,0.52
