code,name,股息率_2024,select,get,rate,profit_min
601127,赛力斯,0.89,23,23,100.0,0.82
600750,江中药业,5.19,22,22,100.0,0.56
601107,四川成渝,4.73,20,20,100.0,0.57
601928,凤凰传媒,4.33,17,17,100.0,0.85
001965,招商公路,3.35,14,14,100.0,1.09
600660,福耀玻璃,2.99,14,14,100.0,0.56
601601,中国太保,3.22,22,21,95.45,0.85
600282,南钢股份,4.31,20,19,95.0,0.7
600036,招商银行,4.54,17,16,94.12,0.54
600941,中国移动,4.09,14,13,92.86,0.72
600016,民生银行,4.62,26,24,92.31,0.5
000063,中兴通讯,1.98,22,20,90.91,0.77
000999,华润三九,3.14,19,17,89.47,0.5
000538,云南白药,4.24,18,16,88.89,0.7
601166,兴业银行,4.65,17,15,88.24,0.61
000895,双汇发展,5.74,16,14,87.5,0.67
600737,中粮糖业,6.63,20,17,85.0,0.74
002179,中航光电,2.01,18,15,83.33,0.58
601318,中国平安,4.79,18,15,83.33,0.51
600062,华润双鹤,2.44,22,18,81.82,0.55
601728,中国电信,3.28,15,12,80.0,0.77
600887,伊利股份,3.99,24,19,79.17,0.56
000858,五粮液,4.48,20,15,75.0,1.22
