code,name,行业,股息率_2023,最高_比_最低,最新_比_最高,最新_比_最低
000007,全新好,房地产服务,0.0,65.61,-7.16,53.76
000027,深圳能源,电力行业,1.98,30.7,-7.74,20.58
000060,中金岭南,有色金属,1.26,36.86,-12.87,19.24
000089,深圳机场,航空机场,1.51,20.97,-8.67,10.48
000166,申万宏源,证券,1.31,16.22,-10.83,3.63
000400,许继电气,电网设备,0.88,107.64,-8.59,89.81
000403,派林生物,生物制品,0.72,48.07,-12.13,30.11
000415,渤海租赁,多元金融,0.0,42.08,-0.38,41.53
000422,湖北宜化,化学原料,2.39,81.88,-6.2,70.6
000426,兴业银锡,有色金属,0.44,105.15,-7.73,89.3
000430,张家界,旅游酒店,0.0,62.22,-13.84,39.78
000528,柳工,工程机械,1.83,89.01,-7.35,75.12
000543,皖能电力,电力行业,2.42,69.63,-5.86,59.68
000544,中原环保,公用事业,2.26,50.5,-11.48,33.22
000563,陕国投A,多元金融,2.55,18.22,-13.84,1.86
000582,北部湾港,航运港口,2.62,20.9,-10.56,8.13
000598,兴蓉环境,公用事业,2.19,60.36,-3.94,54.04
000601,韶能股份,电力行业,0.0,58.13,-13.57,36.68
000636,风华高科,电子元件,0.34,74.75,-9.23,58.62
000682,东方电子,电网设备,0.71,86.08,-10.89,65.81
000685,中山公用,公用事业,2.75,20.3,-10.47,7.7
000703,恒逸石化,化纤行业,1.34,25.77,-0.9,24.64
000709,河钢股份,钢铁行业,2.05,14.65,-13.66,-1.01
000725,京东方A,光学光电子,0.7,26.26,-4.87,20.11
000729,燕京啤酒,酿酒行业,1.12,34.83,-9.15,22.49
000731,四川美丰,化肥行业,2.54,28.04,-12.01,12.67
000738,航发控制,航天航空,0.84,55.28,-9.17,41.05
000758,中色股份,有色金属,0.0,45.38,-4.41,38.97
000768,中航西飞,航天航空,0.41,39.66,-4.15,33.86
000792,盐湖股份,化肥行业,0.0,33.41,-11.7,17.8
000795,英洛华,小金属,0.48,63.14,-14.31,39.8
000807,云铝股份,有色金属,1.62,54.85,-8.92,41.04
000823,超声电子,电子元件,1.14,61.94,-12.11,42.34
000825,太钢不锈,钢铁行业,0.0,20.36,-11.94,5.99
000830,鲁西化工,化学原料,1.02,45.2,0.0,45.2
000876,新希望,农牧饲渔,0.0,34.13,-13.23,16.38
000883,湖北能源,电力行业,1.57,55.2,-8.77,41.58
000885,城发环境,环保行业,2.14,31.66,-10.83,17.4
000887,中鼎股份,汽车零部件,1.59,58.64,-8.52,45.11
