code,name,行业,股息率_2023,count,mean,std,min,25%,50%,75%,max,2024-07-26
600674,川投能源,电力行业,2.02,40.0,3.4370000000000003,2.108128590443703,0.46,1.9275,2.8499999999999996,3.9225000000000003,10.05,YES
600380,健康元,化学制药,1.68,94.0,3.410851063829787,3.630836172414398,0.08,1.2850000000000001,2.245,4.5925,19.56,YES
000725,京东方A,光学光电子,0.7,83.0,2.902530120481928,2.5142679889827093,0.0,0.765,2.2,4.27,9.49,YES
002108,沧州明珠,塑料制品,3.26,87.0,3.490459770114943,3.4686777549303693,0.0,0.95,2.71,4.5600000000000005,21.45,YES
002884,凌霄泵业,通用设备,5.51,118.0,3.999152542372882,3.0461932461305303,0.0,1.6549999999999998,3.2649999999999997,5.665,13.37,YES
002958,青农商行,银行,3.79,47.0,2.2242553191489365,2.611206405077305,0.0,0.36,1.36,2.8449999999999998,9.06,YES
301003,江苏博云,塑料制品,2.79,133.0,4.597593984962407,4.462212583117622,0.0,1.48,2.94,6.31,24.85,YES
601169,北京银行,银行,5.82,30.0,3.2916666666666665,1.8222098810440888,0.0,2.035,3.1550000000000002,4.3025,7.82,YES
601818,光大银行,银行,5.32,41.0,1.7002439024390246,1.4003579681725635,0.0,0.65,1.32,2.37,6.08,YES
003006,百亚股份,美容护理,2.31,196.0,4.770153061224489,4.165914493385061,-0.06,2.065,3.865,6.335,29.37,YES
301015,百洋医药,医药商业,3.28,201.0,4.812587064676617,4.831305855939141,-0.07,1.59,3.76,6.73,30.5,YES
605016,百龙创园,食品饮料,1.18,179.0,4.4458100558659215,3.4430261362578256,-0.07,1.6400000000000001,3.96,6.32,18.38,YES
603393,新天然气,燃气,2.33,105.0,5.247809523809524,4.154810692010755,-0.08,2.28,4.26,7.02,18.4,YES
831832,科达自控,软件开发,1.85,157.0,7.365605095541402,8.66240005955444,-0.09,1.88,4.77,9.63,58.51,YES
002128,电投能源,煤炭行业,3.16,76.0,4.502894736842105,4.045530806800504,-0.1,1.5950000000000002,3.05,6.6225000000000005,14.47,YES
601200,上海环境,环保行业,1.16,41.0,4.37,4.212083807333372,-0.1,1.12,2.42,7.25,13.73,YES
603977,国泰集团,化学制品,1.38,142.0,4.689295774647888,4.387554553682757,-0.1,1.28,3.0700000000000003,7.0275,22.88,YES
603055,台华新材,纺织服装,1.51,170.0,4.411941176470588,3.9606613363643435,-0.11,1.4224999999999999,3.23,6.25,18.97,YES
603535,嘉诚国际,物流行业,0.64,140.0,5.179285714285715,4.453364041338473,-0.12,1.8975,3.795,7.215,19.57,YES
002818,富森美,商业百货,8.95,100.0,3.3695,2.75272073858691,-0.13,1.3175000000000001,2.735,5.109999999999999,12.62,YES
002588,史丹利,化肥行业,1.74,68.0,4.2175,4.376417254453078,-0.14,1.2850000000000001,3.015,5.2299999999999995,23.84,YES
603160,汇顶科技,半导体,0.26,176.0,4.75840909090909,4.9720206611140965,-0.15,1.2275,3.175,6.7725,28.49,YES
002027,分众传媒,文化传媒,5.75,123.0,4.0321138211382115,3.7424930877062046,-0.16,1.335,3.15,5.125,17.8,YES
600886,国投电力,电力行业,2.69,67.0,3.123582089552239,2.127747209219418,-0.16,1.325,3.28,4.135,11.41,YES
600420,国药现代,化学制药,0.84,129.0,4.2660465116279065,4.294873473581005,-0.17,1.35,3.09,5.17,19.33,YES
600055,万东医疗,医疗器械,1.06,158.0,3.837468354430379,3.8739272090844934,-0.18,1.1724999999999999,2.71,5.217499999999999,26.32,YES
002752,昇兴股份,包装材料,2.02,99.0,3.796666666666666,3.7348070463505056,-0.2,1.045,2.71,4.9399999999999995,17.53,YES
600021,上海电力,电力行业,2.02,104.0,3.681634615384615,3.024338525311501,-0.2,1.3375000000000001,3.115,5.0775,12.66,YES
601665,齐鲁银行,银行,4.85,67.0,3.375074626865672,3.081580848306512,-0.2,1.2349999999999999,2.39,4.645,13.47,YES
603195,公牛集团,家电行业,4.08,102.0,2.919999999999999,2.2861788778190864,-0.22,1.02,2.46,4.445,9.04,YES
605555,德昌股份,家电行业,1.85,226.0,5.742256637168142,5.0684316001062655,-0.23,2.01,4.67,7.717499999999999,25.32,YES
833819,颖泰生物,农药兽药,6.87,105.0,3.4157142857142855,3.849507924882902,-0.23,0.9,2.25,4.22,22.35,YES
001872,招商港口,航运港口,2.73,99.0,3.9107070707070704,3.6228591855912597,-0.24,1.3,3.04,5.05,18.44,YES
603203,快克智能,专用设备,2.5,208.0,4.12110576923077,3.8884772460574655,-0.24,1.2075,3.1,6.185,23.39,YES
600016,民生银行,银行,5.55,32.0,1.7628125,1.2029352123036385,-0.25,0.9750000000000001,1.635,2.4299999999999997,3.9,YES
836433,大唐药业,中药,2.06,165.0,9.224727272727272,13.955441091316859,-0.25,1.88,4.31,9.24,89.73,YES
603658,安图生物,医疗器械,2.37,181.0,3.6988950276243093,4.291037286539834,-0.27,0.9,2.34,4.73,28.25,YES
000902,新洋丰,化肥行业,2.46,77.0,3.238311688311689,3.071188010576518,-0.28,1.29,2.5,4.26,18.31,YES
600863,内蒙华电,电力行业,3.99,82.0,3.0704878048780486,2.4271402175506696,-0.28,1.1125,2.255,5.375,9.5,YES
603602,纵横通信,通信服务,0.47,137.0,5.098102189781022,5.47985730450308,-0.28,1.48,3.23,6.78,31.46,YES
600691,阳煤化工,化肥行业,0.0,154.0,4.299025974025975,4.102289934317575,-0.29,1.25,3.13,6.41,21.05,YES
603520,司太立,化学制药,0.0,190.0,4.06178947368421,5.067295487074714,-0.29,1.0125,2.18,5.17,32.2,YES
605008,长鸿高科,塑料制品,2.48,160.0,3.5878749999999995,3.698300202362222,-0.3,1.1175000000000002,2.525,4.64,21.47,YES
600377,宁沪高速,铁路公路,3.61,72.0,2.7072222222222226,2.006046649803877,-0.31,1.185,2.29,3.665,8.42,YES
002984,森麒麟,橡胶制品,1.66,157.0,3.9770700636942675,3.394397960506455,-0.32,1.41,2.9,5.76,15.48,YES
301070,开勒股份,专用设备,1.05,264.0,6.704242424242423,7.034585945448159,-0.32,2.13,4.345,9.3375,42.14,YES
000039,中集集团,通用设备,0.26,97.0,4.0294845360824745,3.1002464186785557,-0.33,1.64,3.25,5.65,13.6,YES
002449,国星光电,光学光电子,0.83,135.0,4.242074074074074,4.301371543897503,-0.33,1.245,2.74,6.300000000000001,20.89,YES
002923,润都股份,化学制药,2.12,140.0,4.609714285714286,7.324815998657096,-0.33,1.0750000000000002,2.375,5.262499999999999,49.73,YES
600125,铁龙物流,物流行业,1.85,113.0,3.9497345132743362,3.15737839381735,-0.33,1.73,2.97,5.12,15.82,YES
600399,抚顺特钢,钢铁行业,0.9,219.0,3.79365296803653,4.202872149023181,-0.33,0.85,2.46,5.395,24.47,YES
002332,仙琚制药,化学制药,2.67,193.0,4.052227979274612,3.64501681949774,-0.34,1.4,3.09,5.78,24.01,YES
002311,海大集团,农牧饲渔,1.11,127.0,2.8740157480314954,2.6447997073150025,-0.35,0.995,2.27,4.02,11.9,YES
301190,善水科技,化学制品,1.12,157.0,4.785414012738854,4.669544463924892,-0.35,1.16,3.53,6.83,24.29,YES
600970,中材国际,工程建设,3.89,174.0,4.367183908045978,4.158808966974294,-0.35,1.6824999999999999,3.01,5.5075,23.22,YES
872374,云里物里,电子元件,1.36,162.0,8.109382716049383,9.755177742322058,-0.35,1.725,4.4350000000000005,9.395,44.49,YES
002170,芭田股份,化肥行业,2.48,120.0,3.9659166666666663,3.429392110141102,-0.36,1.47,3.365,5.612500000000001,17.36,YES
002422,科伦药业,化学制药,2.55,154.0,4.4480519480519485,4.164853264670678,-0.36,1.5950000000000002,3.125,5.805,22.93,YES
600519,贵州茅台,酿酒行业,3.42,47.0,2.000638297872341,1.786182964793579,-0.36,0.6599999999999999,1.4,3.2300000000000004,8.89,YES
002468,申通快递,物流行业,0.25,153.0,3.8966013071895422,4.496730268732508,-0.37,0.89,2.54,5.19,26.51,YES
833454,同心传动,汽车零部件,1.37,190.0,10.928684210526315,21.59913955407643,-0.37,1.4175,4.075,11.4175,157.23,YES
002065,东华软件,软件开发,1.1,160.0,3.90825,4.2450058781655855,-0.38,1.22,2.7649999999999997,4.9575000000000005,29.95,YES
600887,伊利股份,食品饮料,4.67,43.0,2.7609302325581395,2.8200580996661757,-0.38,1.115,1.98,2.9749999999999996,10.34,YES
000157,中联重科,工程机械,4.2,96.0,3.261875,2.522857324334329,-0.39,1.0425,2.805,4.8825,9.4,YES
002648,卫星化学,化学原料,2.23,131.0,4.344656488549619,3.985875890172876,-0.39,1.49,3.65,5.455,18.31,YES
603379,三美股份,化学制品,0.58,207.0,5.095314009661836,5.164931110072337,-0.39,1.795,3.34,6.59,29.47,YES
605007,五洲特纸,造纸印刷,1.65,156.0,3.552564102564103,3.7138855180290142,-0.39,1.0425,2.1950000000000003,4.71,17.94,YES
002550,千红制药,化学制药,2.2,120.0,3.529416666666667,3.3584043069284433,-0.4,1.255,2.58,4.7575,15.68,YES
600150,中国船舶,船舶制造,0.48,143.0,4.476013986013985,4.087854414985063,-0.4,1.355,3.12,6.58,19.49,YES
600604,市北高新,房地产服务,0.0,142.0,4.339788732394366,4.21611203175026,-0.4,1.21,2.98,6.4775,20.53,YES
